"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"2020-01-02",158.779998779297,160.729995727539,158.330001831055,160.619995117188,22622100,155.093704223633
"2020-01-03",158.320007324219,159.949996948242,158.059997558594,158.619995117188,21116200,153.162475585938
"2020-01-06",157.080001831055,159.100006103516,156.509994506836,159.029998779297,20813700,153.558395385742
"2020-01-07",159.320007324219,159.669998168945,157.320007324219,157.580001831055,21634100,152.158294677734
"2020-01-08",158.929992675781,160.800003051758,157.949996948242,160.089996337891,27746500,154.581924438477
"2020-01-09",161.839996337891,162.220001220703,161.029998779297,162.089996337891,21385000,156.513137817383
"2020-01-10",162.820007324219,163.220001220703,161.179992675781,161.339996337891,20725900,155.78889465332
"2020-01-13",161.759994506836,163.309997558594,161.259994506836,163.279998779297,21626500,157.662170410156
"2020-01-14",163.389999389648,163.600006103516,161.720001220703,162.130004882812,23477400,156.551712036133
"2020-01-15",162.619995117188,163.940002441406,162.570007324219,163.179992675781,21417900,157.565582275391
"2020-01-16",164.350006103516,166.240005493164,164.029998779297,166.169998168945,23865400,160.452743530273
"2020-01-17",167.419998168945,167.470001220703,165.429992675781,167.100006103516,34371700,161.350723266602
"2020-01-21",166.679992675781,168.190002441406,166.429992675781,166.5,29517200,160.771408081055
"2020-01-22",167.399993896484,167.490005493164,165.679992675781,165.699996948242,24138800,159.998916625977
"2020-01-23",166.190002441406,166.800003051758,165.270004272461,166.720001220703,19680800,160.983795166016
"2020-01-24",167.509994506836,167.529998779297,164.449996948242,165.039993286133,24918100,159.361587524414
"2020-01-27",161.149993896484,163.380004882812,160.199996948242,162.279998779297,32078100,156.696563720703
"2020-01-28",163.779998779297,165.759994506836,163.070007324219,165.460006713867,24899900,159.767150878906
"2020-01-29",167.839996337891,168.75,165.690002441406,168.039993286133,34754500,162.258361816406
"2020-01-30",174.050003051758,174.050003051758,170.789993286133,172.779998779297,51597500,166.83528137207
"2020-01-31",172.210006713867,172.399993896484,169.580001831055,170.229995727539,36142700,164.373031616211
"2020-02-03",170.429992675781,174.5,170.399993896484,174.380004882812,30107000,168.380249023438
"2020-02-04",177.139999389648,180.639999389648,176.309997558594,180.119995117188,36433300,173.922714233398
"2020-02-05",184.029998779297,184.199996948242,178.410003662109,179.899993896484,39186300,173.710311889648
"2020-02-06",180.970001220703,183.820007324219,180.059997558594,183.630004882812,27751400,177.31201171875
"2020-02-07",182.850006103516,185.630004882812,182.479995727539,183.889999389648,33529100,177.563064575195
"2020-02-10",183.580001831055,188.839996337891,183.25,188.699996948242,35844300,182.207565307617
"2020-02-11",190.649993896484,190.699996948242,183.5,184.440002441406,53159900,178.094100952148
"2020-02-12",185.580001831055,185.850006103516,181.850006103516,184.710006713867,47062900,178.354827880859
"2020-02-13",183.080001831055,186.229995727539,182.869995117188,183.710006713867,35295800,177.389251708984
"2020-02-14",183.25,185.410003662109,182.649993896484,185.350006103516,23149500,178.972839355469
"2020-02-18",185.610000610352,187.699996948242,185.5,187.229995727539,27792200,180.788131713867
"2020-02-19",188.059997558594,188.179992675781,186.470001220703,187.279998779297,29997500,181.330368041992
"2020-02-20",186.949996948242,187.25,181.100006103516,184.419998168945,36862400,178.561187744141
"2020-02-21",183.169998168945,183.5,177.25,178.589996337891,48572600,172.916412353516
"2020-02-24",167.770004272461,174.550003051758,163.229995727539,170.889999389648,68311100,165.461029052734
"2020-02-25",174.199996948242,174.839996337891,167.649993896484,168.070007324219,68073300,162.730621337891
"2020-02-26",169.710006713867,173.259994506836,168.210006713867,170.169998168945,56206100,164.763900756836
"2020-02-27",163.320007324219,167.029998779297,157.979995727539,158.179992675781,93174900,153.154815673828
"2020-02-28",152.410003662109,163.710006713867,152,162.009994506836,97012700,156.863128662109
"2020-03-02",165.309997558594,172.919998168945,162.309997558594,172.789993286133,71030800,167.300674438477
"2020-03-03",173.800003051758,175,162.259994506836,164.509994506836,71677000,159.283706665039
"2020-03-04",168.490005493164,170.699996948242,165.619995117188,170.550003051758,49814400,165.1318359375
"2020-03-05",166.050003051758,170.869995117188,165.690002441406,166.270004272461,47817300,160.987823486328
"2020-03-06",162.610000610352,163.110000610352,156,161.570007324219,72821100,156.437118530273
"2020-03-09",151,157.75,150,150.619995117188,70419300,145.834976196289
"2020-03-10",158.160003662109,161.029998779297,152.580001831055,160.919998168945,65354400,155.807754516602
"2020-03-11",157.130004882812,157.699996948242,151.149993896484,153.630004882812,56371600,148.749374389648
"2020-03-12",145.300003051758,153.470001220703,138.580001831055,139.059997558594,93226400,134.642242431641
"2020-03-13",147.5,161.910003662109,140.729995727539,158.830001831055,92727400,153.784149169922
"2020-03-16",140,149.350006103516,135,135.419998168945,87905900,131.117874145508
"2020-03-17",140,147.5,135,146.570007324219,81059800,141.913635253906
"2020-03-18",138,146,135.020004272461,140.399993896484,81593200,135.939666748047
"2020-03-19",142.770004272461,150.149993896484,139,142.710006713867,85922700,138.176300048828
"2020-03-20",146,147.100006103516,135.860000610352,137.350006103516,84866200,132.986587524414
"2020-03-23",137.009994506836,140.570007324219,132.520004272461,135.979995727539,78975200,131.660064697266
"2020-03-24",143.75,149.600006103516,141.270004272461,148.339996337891,82516700,143.627395629883
"2020-03-25",148.910003662109,154.330001831055,144.440002441406,146.919998168945,75638200,142.252548217773
"2020-03-26",148.399993896484,156.660003662109,148.369995117188,156.110000610352,64568100,151.150573730469
"2020-03-27",151.75,154.889999389648,149.199996948242,149.699996948242,57042300,144.944229125977
